cell_id,correlated_pair_ratio
0,0.104456825
1,0.119777159
2,0.167130919
3,0.077994429
4,0.125348189
5,0.185236769
6,0.153203343
7,0.077994429
8,0.098885794
9,0.080779944
10,0.178272981
11,0.125348189
12,0.169916435
13,0.142061281
14,0.105849582
15,0.11281337
16,0.104456825
17,0.104456825
18,0.135097493
19,0.153203343
20,0.204735376
21,0.069637883
22,0.211699164
23,0.175487465
24,0.103064067
25,0.147632312
26,0.082172702
27,0.11281337
28,0.129526462
29,0.094707521
30,0.097493036
31,0.13091922
32,0.158774373
33,0.119777159
34,0.101671309
35,0.139275766
36,0.123955432
37,0.097493036
38,0.179665738
39,0.181058496
40,0.222841226
41,0.115598886
42,0.188022284
43,0.21448468
44,0.155988858
45,0.186629526
46,0.076601671
47,0.135097493
48,0.144846797
49,0.100278552
50,0.178272981
51,0.194986072
52,0.129526462
53,0.125348189
54,0.164345404
55,0.050139276
56,0.168523677
57,0.116991643
58,0.101671309
59,0.175487465
60,0.161559889
61,0.126740947
62,0.111420613
63,0.204735376
64,0.158774373
65,0.114206128
66,0.218662953
67,0.10724234
68,0.100278552
69,0.128133705
70,0.119777159
71,0.146239554
72,0.157381616
73,0.08913649
74,0.179665738
75,0.171309192
76,0.143454039
77,0.104456825
78,0.105849582
79,0.160167131
80,0.108635097
81,0.250696379
82,0.101671309
83,0.087743733
84,0.110027855
85,0.103064067
86,0.062674095
87,0.10724234
88,0.111420613
89,0.128133705
90,0.098885794
91,0.1545961
92,0.111420613
93,0.100278552
94,0.068245125
95,0.185236769
96,0.119777159
97,0.160167131
98,0.168523677
99,0.118384401
100,0.071030641
101,0.236768802
102,0.128133705
103,0.162952646
104,0.135097493
105,0.10724234
106,0.155988858
107,0.139275766
108,0.11281337
109,0.185236769
110,0.090529248
111,0.10724234
112,0.069637883
113,0.144846797
114,0.254874652
115,0.128133705
116,0.186629526
117,0.189415042
118,0.058495822
119,0.119777159
120,0.150417827
121,0.10724234
122,0.144846797
123,0.171309192
124,0.128133705
125,0.093314763
126,0.086350975
127,0.110027855
128,0.091922006
129,0.071030641
130,0.073816156
131,0.100278552
132,0.105849582
133,0.110027855
134,0.155988858
135,0.071030641
136,0.146239554
137,0.082172702
138,0.072423398
139,0.098885794
140,0.084958217
141,0.090529248
142,0.077994429
143,0.108635097
144,0.06545961
145,0.14902507
146,0.199164345
147,0.164345404
148,0.157381616
149,0.224233983
150,0.21448468
151,0.105849582
152,0.143454039
153,0.103064067
154,0.171309192
155,0.096100279
156,0.100278552
157,0.140668524
158,0.08356546
159,0.19637883
160,0.160167131
161,0.142061281
162,0.100278552
163,0.160167131
164,0.155988858
165,0.136490251
166,0.147632312
167,0.182451253
168,0.093314763
169,0.137883008
170,0.129526462
171,0.082172702
172,0.164345404
173,0.161559889
174,0.137883008
175,0.153203343
176,0.118384401
177,0.165738162
178,0.147632312
179,0.133704735
180,0.135097493
181,0.175487465
182,0.189415042
183,0.142061281
184,0.111420613
185,0.118384401
186,0.061281337
187,0.119777159
188,0.151810585
189,0.160167131
190,0.211699164
191,0.169916435
192,0.080779944
193,0.090529248
194,0.157381616
195,0.189415042
196,0.1545961
197,0.161559889
198,0.121169916
199,0.123955432
200,0.151810585
201,0.157381616
202,0.162952646
203,0.137883008
204,0.115598886
205,0.171309192
206,0.179665738
207,0.165738162
208,0.200557103
209,0.122562674
210,0.161559889
211,0.147632312
212,0.144846797
213,0.186629526
214,0.165738162
215,0.236768802
216,0.091922006
217,0.110027855
218,0.08356546
219,0.105849582
220,0.122562674
221,0.183844011
222,0.123955432
223,0.139275766
224,0.179665738
225,0.1545961
226,0.175487465
227,0.207520891
228,0.14902507
229,0.115598886
230,0.1545961
231,0.221448468
232,0.133704735
233,0.22005571
234,0.179665738
235,0.188022284
236,0.139275766
237,0.207520891
238,0.144846797
239,0.168523677
240,0.100278552
241,0.114206128
242,0.143454039
243,0.150417827
244,0.135097493
245,0.122562674
246,0.150417827
247,0.129526462
248,0.174094708
249,0.174094708
250,0.116991643
251,0.218662953
252,0.135097493
253,0.133704735
254,0.122562674
255,0.194986072
256,0.101671309
257,0.14902507
258,0.179665738
259,0.136490251
260,0.158774373
261,0.122562674
262,0.164345404
263,0.167130919
264,0.122562674
265,0.08913649
266,0.197771588
267,0.185236769
268,0.17270195
269,0.167130919
270,0.161559889
271,0.161559889
272,0.121169916
273,0.096100279
274,0.143454039
275,0.129526462
276,0.137883008
277,0.126740947
278,0.140668524
279,0.129526462
280,0.142061281
281,0.168523677
282,0.13091922
283,0.208913649
284,0.146239554
285,0.17270195
286,0.14902507
287,0.193593315
288,0.111420613
289,0.176880223
290,0.188022284
291,0.164345404
292,0.150417827
293,0.10724234
294,0.176880223
295,0.121169916
296,0.147632312
297,0.186629526
298,0.091922006
299,0.147632312
300,0.123955432
301,0.168523677
302,0.14902507
303,0.179665738
304,0.215877437
305,0.161559889
306,0.19637883
307,0.118384401
308,0.225626741
309,0.182451253
310,0.200557103
311,0.174094708
312,0.186629526
313,0.193593315
314,0.250696379
315,0.268802228
316,0.11281337
317,0.221448468
318,0.186629526
319,0.224233983
320,0.203342618
321,0.224233983
322,0.160167131
323,0.200557103
324,0.246518106
325,0.164345404
326,0.11281337
327,0.194986072
328,0.1545961
329,0.194986072
330,0.236768802
331,0.236768802
332,0.181058496
333,0.253481894
334,0.133704735
335,0.142061281
336,0.155988858
337,0.076601671
338,0.118384401
339,0.218662953
340,0.249303621
341,0.240947075
342,0.250696379
343,0.192200557
344,0.137883008
345,0.158774373
346,0.247910864
347,0.139275766
348,0.183844011
349,0.22005571
350,0.175487465
351,0.165738162
352,0.183844011
353,0.186629526
354,0.189415042
355,0.143454039
356,0.188022284
357,0.146239554
358,0.203342618
359,0.189415042
360,0.197771588
361,0.129526462
362,0.105849582
363,0.227019499
364,0.252089136
365,0.22005571
366,0.186629526
367,0.271587744
368,0.151810585
369,0.155988858
370,0.228412256
371,0.271587744
372,0.171309192
373,0.133704735
374,0.125348189
375,0.272980501
376,0.192200557
377,0.245125348
378,0.193593315
379,0.161559889
380,0.208913649
381,0.208913649
382,0.22005571
383,0.224233983
384,0.168523677
385,0.208913649
386,0.19637883
387,0.147632312
388,0.190807799
389,0.215877437
390,0.158774373
391,0.123955432
392,0.118384401
393,0.199164345
394,0.203342618
395,0.188022284
396,0.206128134
397,0.218662953
398,0.144846797
399,0.259052925
400,0.14902507
401,0.189415042
402,0.19637883
403,0.215877437
404,0.278551532
405,0.135097493
406,0.206128134
407,0.158774373
408,0.222841226
409,0.213091922
410,0.207520891
411,0.260445682
412,0.250696379
413,0.250696379
414,0.128133705
415,0.225626741
416,0.206128134
417,0.267409471
418,0.267409471
419,0.147632312
420,0.168523677
421,0.142061281
422,0.26183844
423,0.200557103
424,0.267409471
425,0.224233983
426,0.245125348
427,0.189415042
428,0.108635097
429,0.1545961
430,0.080779944
431,0.236768802
432,0.218662953
433,0.110027855
434,0.243732591
435,0.211699164
436,0.193593315
437,0.23816156
438,0.151810585
439,0.207520891
440,0.161559889
441,0.186629526
442,0.211699164
443,0.197771588
444,0.133704735
445,0.176880223
446,0.143454039
447,0.147632312
448,0.168523677
449,0.174094708
450,0.125348189
451,0.155988858
452,0.206128134
453,0.185236769
454,0.143454039
455,0.210306407
456,0.169916435
457,0.213091922
458,0.221448468
459,0.192200557
460,0.231197772
461,0.174094708
462,0.167130919
463,0.1545961
464,0.155988858
465,0.118384401
466,0.114206128
467,0.167130919
468,0.123955432
469,0.26183844
470,0.17270195
471,0.207520891
472,0.160167131
473,0.169916435
474,0.114206128
475,0.101671309
476,0.114206128
477,0.077994429
478,0.194986072
479,0.174094708
480,0.208913649
481,0.186629526
482,0.161559889
483,0.135097493
484,0.086350975
485,0.240947075
486,0.144846797
487,0.27994429
488,0.114206128
489,0.110027855
490,0.103064067
491,0.133704735
492,0.128133705
493,0.211699164
494,0.266016713
495,0.19637883
496,0.144846797
497,0.139275766
498,0.206128134
499,0.114206128
500,0.208913649
501,0.233983287
502,0.229805014
503,0.116991643
504,0.250696379
505,0.179665738
506,0.17270195
507,0.167130919
508,0.1545961
509,0.14902507
510,0.116991643
511,0.158774373
512,0.129526462
513,0.119777159
514,0.192200557
515,0.157381616
516,0.199164345
517,0.171309192
518,0.218662953
519,0.101671309
520,0.143454039
521,0.104456825
522,0.077994429
523,0.129526462
524,0.144846797
525,0.201949861
526,0.066852368
527,0.10724234
528,0.119777159
529,0.096100279
530,0.222841226
531,0.190807799
532,0.160167131
533,0.086350975
534,0.129526462
535,0.121169916
536,0.147632312
537,0.194986072
538,0.073816156
539,0.175487465
540,0.1545961
541,0.091922006
542,0.176880223
543,0.13091922
544,0.135097493
545,0.175487465
546,0.164345404
547,0.210306407
548,0.142061281
549,0.144846797
550,0.200557103
551,0.13091922
552,0.229805014
553,0.17270195
554,0.155988858
555,0.218662953
556,0.164345404
557,0.146239554
558,0.207520891
559,0.236768802
560,0.168523677
561,0.116991643
562,0.104456825
563,0.10724234
564,0.213091922
565,0.121169916
566,0.174094708
567,0.097493036
568,0.13091922
569,0.125348189
570,0.115598886
571,0.185236769
572,0.111420613
573,0.167130919
574,0.190807799
575,0.139275766
576,0.268802228
577,0.164345404
578,0.186629526
579,0.21448468
580,0.168523677
581,0.155988858
582,0.160167131
583,0.093314763
584,0.100278552
585,0.221448468
586,0.162952646
587,0.143454039
588,0.19637883
589,0.155988858
590,0.140668524
591,0.158774373
592,0.13091922
593,0.210306407
594,0.075208914
595,0.133704735
596,0.167130919
597,0.143454039
598,0.185236769
599,0.181058496
600,0.193593315
601,0.252089136
602,0.123955432
603,0.147632312
604,0.179665738
605,0.14902507
606,0.054317549
607,0.123955432
608,0.174094708
609,0.115598886
610,0.147632312
611,0.176880223
612,0.201949861
613,0.197771588
614,0.183844011
615,0.242339833
616,0.164345404
617,0.162952646
618,0.165738162
619,0.08913649
620,0.10724234
621,0.155988858
622,0.128133705
623,0.161559889
624,0.17270195
625,0.100278552
626,0.116991643
627,0.151810585
628,0.174094708
629,0.1545961
630,0.091922006
631,0.1545961
632,0.114206128
633,0.08356546
634,0.098885794
635,0.181058496
636,0.104456825
637,0.143454039
638,0.111420613
639,0.143454039
640,0.108635097
641,0.153203343
642,0.174094708
643,0.186629526
644,0.161559889
645,0.118384401
646,0.147632312
647,0.186629526
648,0.157381616
649,0.132311978
650,0.185236769
651,0.136490251
652,0.142061281
653,0.146239554
654,0.160167131
655,0.157381616
656,0.137883008
657,0.121169916
658,0.158774373
659,0.129526462
660,0.1545961
661,0.114206128
662,0.178272981
663,0.200557103
664,0.082172702
665,0.210306407
666,0.201949861
667,0.162952646
668,0.140668524
669,0.231197772
670,0.121169916
671,0.14902507
672,0.139275766
673,0.174094708
674,0.144846797
675,0.164345404
676,0.178272981
677,0.181058496
678,0.116991643
679,0.155988858
680,0.133704735
681,0.153203343
682,0.188022284
683,0.1545961
684,0.157381616
685,0.157381616
686,0.157381616
687,0.133704735
688,0.164345404
689,0.105849582
690,0.174094708
691,0.146239554
692,0.146239554
693,0.231197772
694,0.111420613
695,0.11281337
696,0.155988858
697,0.129526462
698,0.114206128
699,0.139275766
700,0.164345404
701,0.108635097
702,0.116991643
703,0.133704735
704,0.151810585
705,0.076601671
706,0.136490251
707,0.132311978
708,0.122562674
709,0.164345404
710,0.126740947
711,0.150417827
712,0.082172702
713,0.146239554
714,0.103064067
715,0.125348189
716,0.121169916
717,0.126740947
