cell_id,correlated_pair_ratio
0,0.111420613
1,0.077994429
2,0.04735376
3,0.079387187
4,0.115598886
5,0.077994429
6,0.122562674
7,0.094707521
8,0.071030641
9,0.075208914
10,0.094707521
11,0.133704735
12,0.190807799
13,0.114206128
14,0.090529248
15,0.096100279
16,0.125348189
17,0.201949861
18,0.079387187
19,0.229805014
20,0.082172702
21,0.087743733
22,0.1545961
23,0.079387187
24,0.176880223
25,0.097493036
26,0.126740947
27,0.103064067
28,0.135097493
29,0.146239554
30,0.128133705
31,0.094707521
32,0.1545961
33,0.097493036
34,0.111420613
35,0.062674095
36,0.121169916
37,0.147632312
38,0.064066852
39,0.059888579
40,0.071030641
41,0.076601671
42,0.075208914
43,0.128133705
44,0.128133705
45,0.08356546
46,0.13091922
47,0.136490251
48,0.093314763
49,0.129526462
50,0.104456825
51,0.151810585
52,0.076601671
53,0.116991643
54,0.104456825
55,0.072423398
56,0.08913649
57,0.140668524
58,0.108635097
59,0.116991643
60,0.158774373
61,0.084958217
62,0.125348189
63,0.087743733
64,0.122562674
65,0.08913649
66,0.084958217
67,0.045961003
68,0.082172702
69,0.080779944
70,0.122562674
71,0.114206128
72,0.096100279
73,0.082172702
74,0.098885794
75,0.14902507
76,0.185236769
77,0.080779944
78,0.058495822
79,0.097493036
80,0.096100279
81,0.098885794
82,0.06545961
83,0.084958217
84,0.090529248
85,0.10724234
86,0.08913649
87,0.062674095
88,0.164345404
89,0.139275766
90,0.098885794
91,0.10724234
92,0.098885794
93,0.058495822
94,0.140668524
95,0.061281337
96,0.108635097
97,0.079387187
98,0.155988858
99,0.123955432
100,0.165738162
101,0.097493036
102,0.091922006
103,0.142061281
104,0.17270195
105,0.151810585
106,0.086350975
107,0.136490251
108,0.108635097
109,0.103064067
110,0.108635097
111,0.062674095
112,0.093314763
113,0.115598886
114,0.108635097
115,0.08913649
116,0.104456825
117,0.128133705
118,0.091922006
119,0.118384401
120,0.111420613
121,0.077994429
122,0.093314763
123,0.057103064
124,0.068245125
